1979	1	12355092
1979	2	13137235
1979	3	13158345
1979	4	12459750
1979	5	11047460
1979	6	9296057
1979	7	6606636
1979	8	4972957
1979	9	4538044
1979	10	6128178
1979	11	8294800
1979	12	10568976
1980	1	11876971
1980	2	12850513
1980	3	12940970
1980	4	12463775
1980	5	10896681
1980	6	8949362
1980	7	6462077
1980	8	4851115
1980	9	4829472
1980	10	6431480
1980	11	8652660
1980	12	10723388
1981	1	11848811
1981	2	12478044
1981	3	12650096
1981	4	12183118
1981	5	10935432
1981	6	8976847
1981	7	6245082
1981	8	4385191
1981	9	4379015
1981	10	6204905
1981	11	8247729
1981	12	10483396
1982	1	12134382
1982	2	12815721
1982	3	13015854
1982	4	12565473
1982	5	11108049
1982	6	9422789
1982	7	6815198
1982	8	4935937
1982	9	4383175
1982	10	6614113
1982	11	8988480
1982	12	10819674
1983	1	11940533
1983	2	12885874
1983	3	12865374
1983	4	12132718
1983	5	10805896
1983	6	9212824
1983	7	6807228
1983	8	4890997
1983	9	4639913
1983	10	6723590
1983	11	8917829
1983	12	10571552
1984	1	11624568
1984	2	12202934
1984	3	12504124
1984	4	12121235
1984	5	10818264
1984	6	9036562
1984	7	6215366
1984	8	4612668
1984	9	4036707
1984	10	5852705
1984	11	8165860
1984	12	10201722
1985	1	11639514
1985	2	12424704
1985	3	12684359
1985	4	12477452
1985	5	11199353
1985	6	8901874
1985	7	5911427
1985	8	4518846
1985	9	4177523
1985	10	6046844
1985	11	8358536
1985	12	10171122
1986	1	11822807
1986	2	12564419
1986	3	12675912
1986	4	11970676
1986	5	10636464
1986	6	8943027
1986	7	6551565
1986	8	4928307
1986	9	4668354
1986	10	6788070
1986	11	8821503
1986	12	10478307
1987	1	11838563
1987	2	12967300
1987	3	12778852
1987	4	12292020
1987	5	10917171
1987	6	9336874
1987	7	6493518
1987	8	4503366
1987	9	5612334
1987	10	7459865
1987	11	9690026
1987	12	10478307
1988	1	13120693
1988	2	13527313
1988	3	13872265
1988	4	13136101
1988	5	11371917
1988	6	9650140
1988	7	6952785
1988	8	5369487
1988	9	5325179
1988	10	7488003
1988	11	9869293
1988	12	11959191
1989	1	13138616
1989	2	13317019
1989	3	13170133
1989	4	12289235
1989	5	11310638
1989	6	9923672
1989	7	7272169
1989	8	5506358
1989	9	4825783
1989	10	6923695
1989	11	9401537
1989	12	11558614
1990	1	12763056
1990	2	13369136
1990	3	13465161
1990	4	12196934
1990	5	10857212
1990	6	9152008
1990	7	6465704
1990	8	4931699
1990	9	4508975
1990	10	6700898
1990	11	9597699
1990	12	11425073
1991	1	12528122
1991	2	13181003
1991	3	13378901
1991	4	12815617
1991	5	11455504
1991	6	9622022
1991	7	6686743
1991	8	5154187
1991	9	4471840
1991	10	6720389
1991	11	9198625
1991	12	11144008
1992	1	12576625
1992	2	13544141
1992	3	13444653
1992	4	12784089
1992	5	11382520
1992	6	9910605
1992	7	7178687
1992	8	5373391
1992	9	5380732
1992	10	7707840
1992	11	9708066
1992	12	11680255
1993	1	12889190
1993	2	13578570
1993	3	13739597
1993	4	12983867
1993	5	11368918
1993	6	9226821
1993	7	6201094
1993	8	4680996
1993	9	4533972
1993	10	7007207
1993	11	9503254
1993	12	11435021
1994	1	12837944
1994	2	13491453
1994	3	13510536
1994	4	12871761
1994	5	11624784
1994	6	9645339
1994	7	6875312
1994	8	5119522
1994	9	5095186
1994	10	7191868
1994	11	9652222
1994	12	11453213
1995	1	12749826
1995	2	13334766
1995	3	13306023
1995	4	12354248
1995	5	10867129
1995	6	8908120
1995	7	6083045
1995	8	4631059
1995	9	4394855
1995	10	5935332
1995	11	8969522
1995	12	11049395
1996	1	12107664
1996	2	12941300
1996	3	12868516
1996	4	12260589
1996	5	11240165
1996	6	9804768
1996	7	7389425
1996	8	5682490
1996	9	5596821
1996	10	7509391
1996	11	8708649
1996	12	10989841
1997	1	12347400
1997	2	13399283
1997	3	13270915
1997	4	12508871
1997	5	11192952
1997	6	9166530
1997	7	6435597
1997	8	5043707
1997	9	4854981
1997	10	6407662
1997	11	9010682
1997	12	11205998
1998	1	12766315
1998	2	13734295
1998	3	13534621
1998	4	12792291
1998	5	11367528
1998	6	9139315
1998	7	6403235
1998	8	4629402
1998	9	4256092
1998	10	6665225
1998	11	8835818
1998	12	10873060
1999	1	12568485
1999	2	13417035
1999	3	13507205
1999	4	13112598
1999	5	11628506
1999	6	9210887
1999	7	6512576
1999	8	4688580
1999	9	4242292
1999	10	6786765
1999	11	9222803
1999	12	10949526
2000	1	12258901
2000	2	13056740
2000	3	13132054
2000	4	12545238
2000	5	11194701
2000	6	9017787
2000	7	6330325
2000	8	4730270
2000	9	4319254
2000	10	6659689
2000	11	8821528
2000	12	10923703
2001	1	12310431
2001	2	13184236
2001	3	13607450
2001	4	13014464
2001	5	11344274
2001	6	9037528
2001	7	6238943
2001	8	4888346
2001	9	4556744
2001	10	6599549
2001	11	9031291
2001	12	10510430
2002	1	12223496
2002	2	13388064
2002	3	13389329
2002	4	12369194
2002	5	11127146
2002	6	9159786
2002	7	6369457
2002	8	4247362
2002	9	3990994
2002	10	6215173
2002	11	8703520
2002	12	10601120
2003	1	12251305
2003	2	13196890
2003	3	13392066
2003	4	12415910
2003	5	10844804
2003	6	9076077
2003	7	6091238
2003	8	4461573
2003	9	4019125
2003	10	5948834
2003	11	8510343
2003	12	10761306
2004	1	12220858
2004	2	12905488
2004	3	12958193
2004	4	12112407
2004	5	10874280
2004	6	9207465
2004	7	6449245
2004	8	4583710
2004	9	4362538
2004	10	6362988
2004	11	8904998
2004	12	10936240
2005	1	11876115
2005	2	12310262
2005	3	12705684
2005	4	12189351
2005	5	10846152
2005	6	8769594
2005	7	5839370
2005	8	4153494
2005	9	4040534
2005	10	5735705
2005	11	8742134
2005	12	10527720
2006	1	11609157
2006	2	12315901
2006	3	12474743
2006	4	11994722
2006	5	10405394
2006	6	8365448
2006	7	5733553
2006	8	4255675
2006	9	3976340
2006	10	5755519
2006	11	8082825
2006	12	10120282
2007	1	11820325
2007	2	12549986
2007	3	12520741
2007	4	11781337
2007	5	10730518
2007	6	8185211
2007	7	5049916
2007	8	3120469
2007	9	2790182
2007	10	4231425
2007	11	8012023
2007	12	10133877
2008	1	12246824
2008	2	13167754
2008	3	13502081
2008	4	12721394
2008	5	11208046
2008	6	8801807
2008	7	5997079
2008	8	3702931
2008	9	3221161
2008	10	5718989
2008	11	9005522
2008	12	10920872
2009	1	12273554
2009	2	13168898
2009	3	13378960
2009	4	12877158
2009	5	11435395
2009	6	9209292
2009	7	6037332
2009	8	4102927
2009	9	3721655
2009	10	5165459
2009	11	8303755
2009	12	10541843
2010	1	11994078
2010	2	12918141
2010	3	13490024
2010	4	12801223
2010	5	10835627
2010	6	8301385
2010	7	5518623
2010	8	3826537
2010	9	3290393
2010	10	5443209
2010	11	8387430
2010	12	10376427
2011	1	11786573
2011	2	12717373
2011	3	12783954
2011	4	12403920
2011	5	10695228
2011	6	8486148
2011	7	5303579
2011	8	3305483
2011	9	3181465
2011	10	4921867
2011	11	8454870
2011	12	10573933
2012	1	12169514
2012	2	12675394
2012	3	13372345
2012	4	12824271
2012	5	11007194
2012	6	8069429
2012	7	5021057
2012	8	2819032
2012	9	2371995
2012	10	4529543
2012	11	8003528
2012	12	10396137
2013	1	11979636
2013	2	13156659
2013	3	13413088
2013	4	12689227
2013	5	11215829
2013	6	8906085
2013	7	5730558
2013	8	4110645
2013	9	3747484
2013	10	5905267
2013	11	8600232
2013	12	10827527
2014	1	12047142
2014	2	12514031
2014	3	12909148
2014	4	12381866
2014	5	11003301
2014	6	8713515
2014	7	5891701
2014	8	4302208
2014	9	3704646
2014	10	5624542
2014	11	8698056
2014	12	10850816
2015	1	12126609
2015	2	12807438
2015	3	12733273
2015	4	12290287
2015	5	10855082
2015	6	8658249
2015	7	5582398
2015	8	3545958
2015	9	3373258
2015	10	5427612
2015	11	8428026
2015	12	10588729
2016	1	11759931
2016	2	12386327
2016	3	12573896
2016	4	11936630
2016	5	10192972
2016	6	8162265
2016	7	5291489
2016	8	3234774
2016	9	2859527
2016	10	4331197
2016	11	6958596
2016	12	9566911
